2006-11-20 [1457]  First try at wafer map
Analysis Strategy:  Ta2O5 Neha Genos

Fit Parm:	MSE	E1Offset.2	PoleMag.2	Amp1.2	En1.2	Br1.2	Thick.2	Thick.1	EMA2.1	
--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	
Average:	24.546	1.5208	119.42	2.1189	4.7759	0.52436	1830.8	21.489	58.238	
Minimum:	21.700	1.4806	110.91	1.9894	4.7523	0.50315	1823.1	16.630	54.929	
Maximum:	26.800	1.6456	121.34	2.6346	4.8844	0.61129	1840.8	23.540	67.995	
Std Dev:	1.2189	0.040917	2.6698	0.17550	0.036654	0.030574	3.4124	1.0246	2.3762	
% Range:	10.389	5.4247	4.3668	15.225	1.3830	10.312	0.48339	16.078	11.218	
--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	
1:(2.00,6.00)	21.700	1.6308	112.26	2.6128	4.8778	0.60967	1830.3	21.600	61.498	
2:(0.00,6.00)	22.370	1.6293	112.18	2.6096	4.8791	0.61074	1831.8	21.170	61.533	
3:(-2.00,6.00)	22.400	1.6163	112.93	2.5428	4.8671	0.60155	1833.0	21.450	60.604	
4:(-4.00,4.00)	24.250	1.5135	119.70	2.0619	4.7637	0.51501	1833.5	21.940	57.851	
5:(-2.00,4.00)	24.070	1.5192	119.57	2.0814	4.7670	0.51832	1831.6	21.990	58.191	
6:(0.00,4.00)	24.710	1.5147	119.99	2.0822	4.7676	0.51966	1827.8	23.540	56.325	
7:(2.00,4.00)	23.880	1.5331	119.09	2.1390	4.7786	0.52946	1828.0	22.340	58.515	
8:(4.00,4.00)	23.180	1.5415	118.66	2.1912	4.7886	0.53687	1826.8	22.320	58.846	
9:(6.00,2.00)	23.930	1.5197	120.22	2.1058	4.7708	0.52168	1825.1	22.150	58.742	
10:(4.00,2.00)	23.410	1.5209	119.92	2.1034	4.7712	0.52179	1827.4	21.780	58.721	
11:(2.00,2.00)	24.870	1.5110	120.31	2.0733	4.7658	0.51710	1828.0	22.420	57.448	
12:(0.00,2.00)	24.040	1.5175	119.76	2.0820	4.7661	0.51630	1831.4	21.310	58.847	
13:(-2.00,2.00)	24.660	1.5200	119.40	2.0677	4.7647	0.51559	1834.7	20.580	59.641	
14:(-4.00,2.00)	25.530	1.4961	120.68	2.0301	4.7580	0.50922	1831.9	22.370	55.349	
15:(-6.00,2.00)	25.550	1.4977	120.44	2.0196	4.7568	0.50836	1834.8	21.430	57.102	
16:(-6.00,0.00)	26.210	1.4949	120.52	2.0148	4.7572	0.50827	1835.0	21.050	57.074	
17:(-4.00,0.00)	25.380	1.4976	120.54	2.0250	4.7581	0.50937	1833.0	22.110	55.624	
18:(-2.00,0.00)	24.700	1.5028	120.47	2.0376	4.7587	0.50960	1832.1	21.650	57.215	
19:(0.00,0.00)	24.210	1.5026	120.73	2.0448	4.7596	0.51016	1830.0	21.350	58.045	
20:(2.00,0.00)	23.640	1.5110	120.29	2.0632	4.7636	0.51420	1830.2	20.930	59.393	
21:(4.00,0.00)	24.610	1.5090	120.62	2.0708	4.7643	0.51499	1826.8	21.910	58.261	
22:(6.00,0.00)	24.170	1.5179	120.23	2.1135	4.7718	0.52088	1825.0	21.560	59.080	
23:(6.00,-2.00)	24.520	1.5296	119.33	2.1704	4.7872	0.53412	1823.1	20.930	59.839	
24:(4.00,-2.00)	24.890	1.5023	121.02	2.0590	4.7619	0.51199	1826.3	21.710	58.231	
25:(2.00,-2.00)	21.880	1.6456	110.91	2.6346	4.8844	0.61129	1840.8	16.630	67.995	
26:(0.00,-2.00)	25.130	1.4995	120.83	2.0378	4.7594	0.51010	1830.3	21.360	57.434	
27:(-2.00,-2.00)	26.800	1.4901	121.02	2.0217	4.7575	0.50764	1831.4	22.270	55.250	
28:(-4.00,-2.00)	25.950	1.4951	120.65	2.0232	4.7575	0.50836	1833.1	22.070	55.078	
29:(-6.00,-2.00)	26.680	1.4938	120.51	2.0127	4.7575	0.50864	1833.9	21.730	55.410	
30:(-4.00,-4.00)	26.040	1.4806	121.34	1.9894	4.7523	0.50315	1833.6	22.040	54.929	
31:(-2.00,-4.00)	25.770	1.4870	121.28	2.0072	4.7541	0.50444	1832.1	21.550	56.381	
32:(0.00,-4.00)	24.960	1.5014	120.67	2.0394	4.7596	0.51012	1831.2	21.300	57.449	
33:(2.00,-4.00)	24.240	1.5092	120.38	2.0465	4.7593	0.50995	1831.2	20.900	59.206	
34:(4.00,-4.00)	24.910	1.5128	120.30	2.0718	4.7649	0.51478	1829.3	20.860	59.501	
35:(2.00,-6.00)	24.380	1.5090	120.41	2.0454	4.7594	0.51031	1832.0	20.390	59.764	
36:(0.00,-6.00)	24.860	1.5023	120.64	2.0390	4.7589	0.50950	1831.8	21.180	57.530	
37:(-2.00,-6.00)	25.720	1.4953	120.84	2.0304	4.7579	0.50803	1832.8	21.220	56.891	

