2006-11-21 [1017]   Second Attempt at Index of Refraction Map
Analysis Strategy:  Ta2O5 Neha Genos Index

Fit Parm:	Ta2O5 Thickness in nm	Ta2O5 Index at 550nm	MSE	
--------------------	--------------------	--------------------	--------------------	
Average:	183.14	2.2222	24.519	
Minimum:	182.24	2.2182	21.610	
Maximum:	183.89	2.2262	26.680	
Std Dev:	0.32198	0.0020071	1.1338	
% Range:	0.45213	0.18001	10.339	
--------------------	--------------------	--------------------	--------------------	
1:(2.00,6.00)	182.99	2.2219	21.610	
2:(0.00,6.00)	183.08	2.2214	21.910	
3:(-2.00,6.00)	183.26	2.2204	22.470	
4:(-4.00,4.00)	183.63	2.2186	24.190	
5:(-2.00,4.00)	183.41	2.2205	24.220	
6:(0.00,4.00)	183.21	2.2215	24.230	
7:(2.00,4.00)	183.05	2.2225	23.800	
8:(4.00,4.00)	182.88	2.2238	23.150	
9:(6.00,2.00)	182.85	2.2245	23.850	
10:(4.00,2.00)	182.95	2.2235	23.430	
11:(2.00,2.00)	183.04	2.2226	24.840	
12:(0.00,2.00)	183.22	2.2215	24.190	
13:(-2.00,2.00)	183.47	2.2197	24.760	
14:(-4.00,2.00)	183.24	2.2213	25.640	
15:(-6.00,2.00)	183.89	2.2182	24.290	
16:(-6.00,0.00)	183.69	2.2186	25.980	
17:(-4.00,0.00)	183.40	2.2204	25.520	
18:(-2.00,0.00)	183.35	2.2212	24.890	
19:(0.00,0.00)	182.98	2.2233	24.340	
20:(2.00,0.00)	183.05	2.2231	23.150	
21:(4.00,0.00)	182.72	2.2251	24.540	
22:(6.00,0.00)	182.49	2.2262	24.020	
23:(6.00,-2.00)	182.24	2.2258	24.580	
24:(4.00,-2.00)	182.62	2.2256	24.880	
25:(2.00,-2.00)	182.85	2.2240	24.900	
26:(0.00,-2.00)	183.01	2.2230	24.480	
27:(-2.00,-2.00)	183.13	2.2221	26.680	
28:(-4.00,-2.00)	183.33	2.2205	25.860	
29:(-6.00,-2.00)	183.49	2.2192	26.450	
30:(-4.00,-4.00)	183.33	2.2210	25.910	
31:(-2.00,-4.00)	183.19	2.2222	25.590	
32:(0.00,-4.00)	183.19	2.2227	24.830	
33:(2.00,-4.00)	183.19	2.2231	24.330	
34:(4.00,-4.00)	182.96	2.2241	24.620	
35:(2.00,-6.00)	183.13	2.2233	24.350	
36:(0.00,-6.00)	183.26	2.2225	24.970	
37:(-2.00,-6.00)	183.22	2.2224	25.770	

