2006-11-20 [1532]  wafer 2 map
Analysis Strategy:  Ta2O5 Neha Genos

Fit Parm:	MSE	E1Offset.2	PoleMag.2	Amp1.2	En1.2	Br1.2	Thick.2	Thick.1	EMA2.1	
--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	
Average:	22.343	1.5580	118.55	2.2562	4.7945	0.54088	1831.7	19.996	64.388	
Minimum:	19.350	1.5064	109.77	2.0524	4.7526	0.50538	1827.5	15.510	60.061	
Maximum:	24.110	1.6816	121.76	2.8168	4.9104	0.63702	1842.0	21.960	74.310	
Std Dev:	1.1752	0.059161	4.0298	0.27708	0.058735	0.048458	2.8573	1.0781	2.8248	
% Range:	10.652	5.6225	5.0571	16.940	1.6456	12.169	0.39663	16.128	11.065	
--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	--------------------	
1:(2.00,6.00)	19.350	1.6745	110.88	2.8010	4.9058	0.63365	1829.7	19.990	67.955	
2:(0.00,6.00)	19.860	1.6780	110.52	2.8135	4.9081	0.63483	1831.6	19.540	68.264	
3:(-2.00,6.00)	19.490	1.6783	110.35	2.8168	4.9104	0.63702	1833.0	19.590	67.720	
4:(-4.00,4.00)	21.790	1.5639	118.35	2.2472	4.7928	0.54187	1832.1	20.740	63.270	
5:(-2.00,4.00)	21.540	1.6389	112.82	2.6538	4.8829	0.61398	1834.2	19.010	66.665	
6:(0.00,4.00)	21.950	1.6383	113.05	2.6596	4.8839	0.61500	1831.7	19.330	66.634	
7:(2.00,4.00)	21.410	1.6489	112.41	2.7029	4.8906	0.62020	1831.5	19.060	67.842	
8:(4.00,4.00)	21.350	1.6341	113.45	2.6364	4.8784	0.61095	1830.4	19.420	67.211	
9:(6.00,2.00)	22.350	1.5399	120.16	2.1587	4.7733	0.52449	1828.1	20.360	64.931	
10:(4.00,2.00)	21.800	1.5351	120.52	2.1367	4.7677	0.52008	1827.5	20.920	63.741	
11:(2.00,2.00)	22.840	1.5405	120.15	2.1650	4.7733	0.52473	1827.7	21.120	63.191	
12:(0.00,2.00)	21.320	1.6495	112.02	2.6938	4.8905	0.61899	1836.4	17.790	69.113	
13:(-2.00,2.00)	22.890	1.5345	120.22	2.1202	4.7641	0.51632	1831.8	20.640	63.034	
14:(-4.00,2.00)	22.840	1.5141	121.39	2.0765	4.7560	0.50930	1829.9	21.960	60.061	
15:(-6.00,2.00)	23.060	1.5244	120.65	2.0937	4.7588	0.51116	1833.7	20.580	62.106	
16:(-6.00,0.00)	23.360	1.5168	120.95	2.0713	4.7556	0.50815	1833.8	20.750	61.137	
17:(-4.00,0.00)	22.790	1.5228	120.78	2.0838	4.7582	0.51094	1833.3	20.270	62.809	
18:(-2.00,0.00)	22.530	1.5279	120.62	2.0987	4.7606	0.51316	1832.2	20.250	63.121	
19:(0.00,0.00)	22.010	1.5244	121.03	2.1017	4.7609	0.51391	1829.1	20.910	62.417	
20:(2.00,0.00)	21.630	1.5423	119.94	2.1442	4.7698	0.52170	1830.9	19.910	65.023	
21:(4.00,0.00)	23.010	1.5283	120.89	2.1173	4.7640	0.51595	1828.2	20.470	64.248	
22:(6.00,0.00)	22.640	1.5305	120.64	2.1247	4.7665	0.51838	1828.1	20.550	64.353	
23:(6.00,-2.00)	23.040	1.5257	120.81	2.1069	4.7641	0.51632	1828.3	20.390	64.056	
24:(4.00,-2.00)	23.090	1.5209	121.28	2.0975	4.7609	0.51315	1828.2	20.530	63.571	
25:(2.00,-2.00)	20.000	1.6816	109.77	2.7952	4.9083	0.63136	1842.0	15.510	74.310	
26:(0.00,-2.00)	22.930	1.5173	121.36	2.0870	4.7580	0.50975	1829.7	20.650	62.321	
27:(-2.00,-2.00)	24.110	1.5128	121.52	2.0775	4.7564	0.50757	1830.7	20.460	61.886	
28:(-4.00,-2.00)	23.220	1.5180	121.09	2.0760	4.7573	0.51022	1832.7	20.280	62.247	
29:(-6.00,-2.00)	24.060	1.5152	121.01	2.0643	4.7564	0.50907	1832.8	20.530	61.203	
30:(-4.00,-4.00)	23.110	1.5064	121.76	2.0524	4.7526	0.50538	1832.0	20.600	61.239	
31:(-2.00,-4.00)	23.310	1.5099	121.65	2.0625	4.7545	0.50744	1831.0	20.720	61.488	
32:(0.00,-4.00)	22.680	1.5280	120.60	2.0999	4.7616	0.51373	1832.7	19.810	63.858	
33:(2.00,-4.00)	22.710	1.5361	120.11	2.1210	4.7652	0.51608	1833.4	19.250	65.287	
34:(4.00,-4.00)	23.230	1.5272	120.69	2.0961	4.7610	0.51290	1831.9	19.660	64.662	
35:(2.00,-6.00)	22.710	1.5304	120.32	2.0913	4.7594	0.51101	1835.3	19.010	65.080	
36:(0.00,-6.00)	23.190	1.5205	120.97	2.0736	4.7556	0.50749	1834.0	19.420	63.554	
37:(-2.00,-6.00)	23.480	1.5113	121.44	2.0589	4.7539	0.50621	1833.5	19.880	62.756	

