2006-11-21 [1037]  Ta2O5 Wafer 2 Map 11212006
Analysis Strategy:  Ta2O5 Neha Genos Index

Fit Parm:	Ta2O5 Thickness in nm	Ta2O5 Index at 550nm	MSE	
--------------------	--------------------	--------------------	--------------------	
Average:	183.17	2.2300	22.284	
Minimum:	182.77	2.2273	19.110	
Maximum:	183.65	2.2325	23.980	
Std Dev:	0.21312	0.0012874	1.1218	
% Range:	0.23939	0.11660	10.927	
--------------------	--------------------	--------------------	--------------------	
1:(2.00,6.00)	182.97	2.2297	19.110	
2:(0.00,6.00)	183.04	2.2295	19.800	
3:(-2.00,6.00)	183.16	2.2292	19.760	
4:(-4.00,4.00)	183.59	2.2273	21.100	
5:(-2.00,4.00)	183.39	2.2284	21.340	
6:(0.00,4.00)	183.26	2.2294	21.790	
7:(2.00,4.00)	183.17	2.2295	21.400	
8:(4.00,4.00)	183.07	2.2302	21.300	
9:(6.00,2.00)	183.20	2.2296	22.360	
10:(4.00,2.00)	183.21	2.2300	21.540	
11:(2.00,2.00)	183.20	2.2299	22.510	
12:(0.00,2.00)	183.40	2.2285	21.290	
13:(-2.00,2.00)	183.54	2.2276	22.520	
14:(-4.00,2.00)	182.95	2.2311	22.690	
15:(-6.00,2.00)	183.65	2.2273	21.910	
16:(-6.00,0.00)	183.40	2.2286	23.580	
17:(-4.00,0.00)	183.21	2.2298	22.810	
18:(-2.00,0.00)	183.26	2.2297	22.370	
19:(0.00,0.00)	182.93	2.2318	22.010	
20:(2.00,0.00)	183.03	2.2309	21.490	
21:(4.00,0.00)	182.83	2.2321	22.820	
22:(6.00,0.00)	182.83	2.2318	22.340	
23:(6.00,-2.00)	182.81	2.2312	23.180	
24:(4.00,-2.00)	182.77	2.2325	23.140	
25:(2.00,-2.00)	182.98	2.2315	22.740	
26:(0.00,-2.00)	183.05	2.2311	22.350	
27:(-2.00,-2.00)	183.05	2.2315	23.980	
28:(-4.00,-2.00)	183.18	2.2303	23.190	
29:(-6.00,-2.00)	183.26	2.2287	23.970	
30:(-4.00,-4.00)	183.17	2.2306	23.060	
31:(-2.00,-4.00)	183.07	2.2311	23.320	
32:(0.00,-4.00)	183.22	2.2303	22.640	
33:(2.00,-4.00)	183.31	2.2297	22.470	
34:(4.00,-4.00)	183.19	2.2301	23.120	
35:(2.00,-6.00)	183.37	2.2293	22.780	
36:(0.00,-6.00)	183.41	2.2295	23.210	
37:(-2.00,-6.00)	183.24	2.2302	23.530	

