2006-12-29 [1725]  Wafer4_12212006
Analysis Strategy:  Ta2O5 Neha Genos Index

Fit Parm:	Ta2O5 Thickness in nm	Ta2O5 Index at 550nm	MSE	
--------------------	--------------------	--------------------	--------------------	
Average:	185.51	2.2363	18.155	
Minimum:	184.99	2.2264	16.320	
Maximum:	186.82	2.2400	19.240	
Std Dev:	0.45918	0.0034428	0.90404	
% Range:	0.49351	0.30408	8.0419	
--------------------	--------------------	--------------------	--------------------	
1:(2.00,6.00)	186.16	2.2318	16.320	
2:(0.00,6.00)	185.60	2.2353	16.890	
3:(-2.00,6.00)	185.59	2.2355	17.010	
4:(-4.00,4.00)	185.56	2.2365	18.590	
5:(-2.00,4.00)	185.36	2.2376	19.110	
6:(0.00,4.00)	185.29	2.2384	19.010	
7:(2.00,4.00)	185.21	2.2388	19.160	
8:(4.00,4.00)	185.01	2.2400	19.080	
9:(6.00,2.00)	185.00	2.2399	18.980	
10:(4.00,2.00)	185.01	2.2400	18.950	
11:(2.00,2.00)	185.09	2.2394	19.180	
12:(0.00,2.00)	185.25	2.2386	19.000	
13:(-2.00,2.00)	185.30	2.2381	18.860	
14:(-4.00,2.00)	185.32	2.2378	18.830	
15:(-6.00,2.00)	185.45	2.2369	18.810	
16:(-6.00,0.00)	185.44	2.2365	18.740	
17:(-4.00,0.00)	185.67	2.2350	18.390	
18:(-2.00,0.00)	185.34	2.2376	19.240	
19:(0.00,0.00)	185.34	2.2381	18.710	
20:(2.00,0.00)	185.24	2.2385	18.110	
21:(4.00,0.00)	185.06	2.2397	18.950	
22:(6.00,0.00)	184.99	2.2400	18.730	
23:(6.00,-2.00)	185.09	2.2391	18.210	
24:(4.00,-2.00)	185.17	2.2386	18.150	
25:(2.00,-2.00)	185.33	2.2373	18.430	
26:(0.00,-2.00)	185.41	2.2371	17.950	
27:(-2.00,-2.00)	185.43	2.2367	18.720	
28:(-4.00,-2.00)	185.55	2.2358	17.790	
29:(-6.00,-2.00)	185.63	2.2349	17.970	
30:(-4.00,-4.00)	185.81	2.2337	17.100	
31:(-2.00,-4.00)	185.74	2.2343	17.170	
32:(0.00,-4.00)	185.76	2.2343	17.150	
33:(2.00,-4.00)	185.65	2.2350	17.170	
34:(4.00,-4.00)	185.59	2.2354	17.220	
35:(2.00,-6.00)	186.70	2.2276	16.470	
36:(0.00,-6.00)	186.76	2.2270	16.670	
37:(-2.00,-6.00)	186.82	2.2264	16.910	

