2006-11-21 [1101]  Ta2O5 Wafer 3 11212006 Index Map
Analysis Strategy:  Ta2O5 Neha Genos Index

Fit Parm:	Ta2O5 Thickness in nm	Ta2O5 Index at 550nm	MSE	
--------------------	--------------------	--------------------	--------------------	
Average:	182.30	2.2219	23.257	
Minimum:	181.79	2.2172	19.980	
Maximum:	183.12	2.2257	25.190	
Std Dev:	0.28602	0.0018815	1.0693	
% Range:	0.36587	0.19127	11.201	
--------------------	--------------------	--------------------	--------------------	
1:(2.00,6.00)	182.18	2.2226	22.910	
2:(0.00,6.00)	182.31	2.2215	23.050	
3:(-2.00,6.00)	182.52	2.2206	22.650	
4:(-4.00,4.00)	182.75	2.2192	23.810	
5:(-2.00,4.00)	182.54	2.2209	24.030	
6:(0.00,4.00)	182.28	2.2224	24.300	
7:(2.00,4.00)	182.20	2.2228	23.410	
8:(4.00,4.00)	182.19	2.2227	22.230	
9:(6.00,2.00)	182.24	2.2228	19.980	
10:(4.00,2.00)	181.98	2.2243	23.240	
11:(2.00,2.00)	182.00	2.2240	24.050	
12:(0.00,2.00)	182.25	2.2219	22.950	
13:(-2.00,2.00)	182.45	2.2209	24.280	
14:(-4.00,2.00)	182.25	2.2219	25.190	
15:(-6.00,2.00)	183.12	2.2172	23.580	
16:(-6.00,0.00)	182.88	2.2183	24.900	
17:(-4.00,0.00)	182.58	2.2200	24.260	
18:(-2.00,0.00)	182.45	2.2211	23.660	
19:(0.00,0.00)	182.07	2.2232	23.250	
20:(2.00,0.00)	182.15	2.2230	22.290	
21:(4.00,0.00)	181.94	2.2247	23.480	
22:(6.00,0.00)	181.79	2.2257	22.950	
23:(6.00,-2.00)	181.81	2.2255	23.050	
24:(4.00,-2.00)	181.87	2.2246	23.490	
25:(2.00,-2.00)	182.05	2.2232	23.160	
26:(0.00,-2.00)	182.19	2.2226	22.870	
27:(-2.00,-2.00)	182.27	2.2217	25.060	
28:(-4.00,-2.00)	182.46	2.2208	24.180	
29:(-6.00,-2.00)	182.65	2.2195	24.500	
30:(-4.00,-4.00)	182.30	2.2213	23.740	
31:(-2.00,-4.00)	182.20	2.2222	23.590	
32:(0.00,-4.00)	182.33	2.2214	22.520	
33:(2.00,-4.00)	182.28	2.2218	22.190	
34:(4.00,-4.00)	182.16	2.2232	22.370	
35:(2.00,-6.00)	182.50	2.2205	21.110	
36:(0.00,-6.00)	182.53	2.2202	21.700	
37:(-2.00,-6.00)	182.48	2.2205	22.540	

