2006-12-29 [1806]  Wafer6_12212006
Analysis Strategy:  Ta2O5 Neha Genos Index

Fit Parm:	Ta2O5 Thickness in nm	Ta2O5 Index at 550nm	MSE	
--------------------	--------------------	--------------------	--------------------	
Average:	179.31	2.2894	39.084	
Minimum:	178.46	2.2662	28.270	
Maximum:	182.14	2.2961	44.800	
Std Dev:	0.79668	0.0064224	3.6063	
% Range:	1.0253	0.65301	21.147	
--------------------	--------------------	--------------------	--------------------	
1:(2.00,6.00)	181.41	2.2730	34.770	
2:(0.00,6.00)	182.14	2.2662	28.270	
3:(-2.00,6.00)	181.26	2.2740	37.220	
4:(-4.00,4.00)	179.74	2.2883	42.650	
5:(-2.00,4.00)	179.40	2.2909	43.950	
6:(0.00,4.00)	179.37	2.2911	44.800	
7:(2.00,4.00)	179.46	2.2900	44.100	
8:(4.00,4.00)	179.71	2.2873	41.650	
9:(6.00,2.00)	179.74	2.2870	38.150	
10:(4.00,2.00)	179.21	2.2917	41.270	
11:(2.00,2.00)	179.05	2.2934	42.930	
12:(0.00,2.00)	179.04	2.2936	43.080	
13:(-2.00,2.00)	178.91	2.2949	43.320	
14:(-4.00,2.00)	179.09	2.2933	42.630	
15:(-6.00,2.00)	179.63	2.2879	38.490	
16:(-6.00,0.00)	179.01	2.2905	37.900	
17:(-4.00,0.00)	178.78	2.2934	40.240	
18:(-2.00,0.00)	178.48	2.2961	42.720	
19:(0.00,0.00)	178.57	2.2949	40.990	
20:(2.00,0.00)	178.68	2.2935	40.370	
21:(4.00,0.00)	178.66	2.2936	40.330	
22:(6.00,0.00)	179.17	2.2887	36.260	
23:(6.00,-2.00)	179.36	2.2868	35.020	
24:(4.00,-2.00)	178.73	2.2928	38.440	
25:(2.00,-2.00)	178.67	2.2940	40.510	
26:(0.00,-2.00)	178.63	2.2945	39.610	
27:(-2.00,-2.00)	178.46	2.2958	41.740	
28:(-4.00,-2.00)	178.79	2.2929	38.850	
29:(-6.00,-2.00)	179.21	2.2892	36.760	
30:(-4.00,-4.00)	179.23	2.2889	36.100	
31:(-2.00,-4.00)	178.81	2.2931	38.440	
32:(0.00,-4.00)	178.86	2.2925	38.480	
33:(2.00,-4.00)	179.05	2.2906	37.620	
34:(4.00,-4.00)	179.24	2.2885	36.630	
35:(2.00,-6.00)	179.84	2.2832	33.110	
36:(0.00,-6.00)	179.61	2.2855	34.560	
37:(-2.00,-6.00)	179.56	2.2860	34.130	

