2006-12-29 [1901]  Wafer1_12212006
Analysis Strategy:  Ta2O5 Neha Genos Index

Fit Parm:	Ta2O5 Thickness in nm	Ta2O5 Index at 550nm	MSE	
--------------------	--------------------	--------------------	--------------------	
Average:	185.43	2.2305	18.781	
Minimum:	184.83	2.2178	14.580	
Maximum:	187.08	2.2352	20.460	
Std Dev:	0.53395	0.0040481	1.4129	
% Range:	0.60695	0.39004	15.654	
--------------------	--------------------	--------------------	--------------------	
1:(2.00,6.00)	186.85	2.2209	14.580	
2:(0.00,6.00)	186.88	2.2195	15.010	
3:(-2.00,6.00)	187.08	2.2178	17.450	
4:(-4.00,4.00)	186.08	2.2257	17.160	
5:(-2.00,4.00)	185.89	2.2269	17.260	
6:(0.00,4.00)	185.74	2.2282	17.080	
7:(2.00,4.00)	185.65	2.2290	17.170	
8:(4.00,4.00)	185.45	2.2305	17.100	
9:(6.00,2.00)	185.01	2.2338	18.580	
10:(4.00,2.00)	185.07	2.2334	18.250	
11:(2.00,2.00)	185.18	2.2323	18.530	
12:(0.00,2.00)	185.31	2.2313	18.160	
13:(-2.00,2.00)	185.40	2.2303	18.270	
14:(-4.00,2.00)	185.50	2.2296	18.510	
15:(-6.00,2.00)	185.71	2.2279	18.630	
16:(-6.00,0.00)	185.54	2.2292	20.050	
17:(-4.00,0.00)	185.62	2.2291	19.160	
18:(-2.00,0.00)	185.31	2.2310	19.610	
19:(0.00,0.00)	185.26	2.2318	18.950	
20:(2.00,0.00)	185.21	2.2326	18.240	
21:(4.00,0.00)	184.99	2.2340	19.310	
22:(6.00,0.00)	184.83	2.2350	19.230	
23:(6.00,-2.00)	184.87	2.2352	19.790	
24:(4.00,-2.00)	184.91	2.2345	19.720	
25:(2.00,-2.00)	185.06	2.2332	19.800	
26:(0.00,-2.00)	185.15	2.2327	19.310	
27:(-2.00,-2.00)	185.21	2.2322	20.460	
28:(-4.00,-2.00)	185.36	2.2309	19.750	
29:(-6.00,-2.00)	185.54	2.2294	20.340	
30:(-4.00,-4.00)	185.30	2.2315	20.350	
31:(-2.00,-4.00)	185.11	2.2329	20.060	
32:(0.00,-4.00)	185.20	2.2325	19.630	
33:(2.00,-4.00)	185.10	2.2334	19.740	
34:(4.00,-4.00)	184.98	2.2341	20.260	
35:(2.00,-6.00)	185.23	2.2327	19.540	
36:(0.00,-6.00)	185.25	2.2323	19.830	
37:(-2.00,-6.00)	185.23	2.2325	20.040	

