2006-12-29 [1639]  Wafer2_12212006_index
Analysis Strategy:  Ta2O5 Neha Genos Index

Fit Parm:	Ta2O5 Thickness in nm	Ta2O5 Index at 550nm	MSE	
--------------------	--------------------	--------------------	--------------------	
Average:	184.46	2.2394	18.341	
Minimum:	183.97	2.2267	13.680	
Maximum:	186.02	2.2432	20.010	
Std Dev:	0.52065	0.0041264	1.5886	
% Range:	0.55623	0.36840	17.256	
--------------------	--------------------	--------------------	--------------------	
1:(2.00,6.00)	185.97	2.2281	13.680	
2:(0.00,6.00)	185.87	2.2280	13.700	
3:(-2.00,6.00)	186.02	2.2267	15.510	
4:(-4.00,4.00)	185.12	2.2343	16.290	
5:(-2.00,4.00)	184.93	2.2356	16.560	
6:(0.00,4.00)	184.75	2.2370	16.960	
7:(2.00,4.00)	184.64	2.2377	16.920	
8:(4.00,4.00)	184.45	2.2394	17.030	
9:(6.00,2.00)	184.06	2.2420	18.770	
10:(4.00,2.00)	184.09	2.2419	18.260	
11:(2.00,2.00)	184.16	2.2413	18.560	
12:(0.00,2.00)	184.32	2.2400	18.070	
13:(-2.00,2.00)	184.35	2.2396	18.110	
14:(-4.00,2.00)	184.45	2.2389	17.730	
15:(-6.00,2.00)	184.61	2.2378	17.650	
16:(-6.00,0.00)	184.48	2.2391	18.810	
17:(-4.00,0.00)	184.69	2.2379	18.400	
18:(-2.00,0.00)	184.32	2.2403	19.480	
19:(0.00,0.00)	184.31	2.2407	18.970	
20:(2.00,0.00)	184.20	2.2412	18.370	
21:(4.00,0.00)	183.99	2.2428	19.710	
22:(6.00,0.00)	183.97	2.2429	19.300	
23:(6.00,-2.00)	184.01	2.2431	19.610	
24:(4.00,-2.00)	183.99	2.2432	19.770	
25:(2.00,-2.00)	184.14	2.2417	19.800	
26:(0.00,-2.00)	184.25	2.2414	19.220	
27:(-2.00,-2.00)	184.25	2.2407	18.750	
28:(-4.00,-2.00)	184.38	2.2400	18.570	
29:(-6.00,-2.00)	184.47	2.2394	19.150	
30:(-4.00,-4.00)	184.24	2.2414	19.520	
31:(-2.00,-4.00)	184.13	2.2422	19.650	
32:(0.00,-4.00)	184.23	2.2419	19.590	
33:(2.00,-4.00)	184.20	2.2420	19.580	
34:(4.00,-4.00)	184.07	2.2428	20.010	
35:(2.00,-6.00)	184.20	2.2420	19.420	
36:(0.00,-6.00)	184.25	2.2418	19.560	
37:(-2.00,-6.00)	184.26	2.2416	19.590	

