2007-01-03 [1655]  Wafer1_Parul_thermal_oxide
Analysis Strategy:  Parul Thermal Oxide on Si

Fit Parm:	MSE	Thick.1	Thick.2	
--------------------	--------------------	--------------------	--------------------	
Average:	7.9279	16.011	2872.1	
Minimum:	7.1550	15.070	2849.8	
Maximum:	8.4150	16.370	2904.9	
Std Dev:	0.28086	0.20230	17.121	
% Range:	7.9466	4.0597	0.95905	
--------------------	--------------------	--------------------	--------------------	
1:(2.00,6.00)	7.2260	16.090	2886.5	
2:(0.00,6.00)	7.1550	15.070	2903.7	
3:(-2.00,6.00)	8.4150	16.010	2904.9	
4:(-4.00,4.00)	8.1440	16.170	2903.7	
5:(-2.00,4.00)	8.1840	16.370	2895.7	
6:(0.00,4.00)	8.1260	16.160	2883.9	
7:(2.00,4.00)	8.0610	16.080	2874.9	
8:(4.00,4.00)	7.8990	15.810	2866.1	
9:(6.00,2.00)	7.9150	15.970	2857.9	
10:(4.00,2.00)	7.8950	15.880	2864.3	
11:(2.00,2.00)	8.2550	15.910	2865.4	
12:(0.00,2.00)	7.8650	16.110	2873.5	
13:(-2.00,2.00)	7.8400	16.070	2881.5	
14:(-4.00,2.00)	8.2620	16.180	2894.3	
15:(-6.00,2.00)	8.1150	16.030	2903.0	
16:(-6.00,0.00)	8.1470	16.180	2895.1	
17:(-4.00,0.00)	7.7610	16.180	2881.3	
18:(-2.00,0.00)	8.0400	15.970	2873.1	
19:(0.00,0.00)	7.7240	16.070	2869.2	
20:(2.00,0.00)	7.1590	15.780	2859.4	
21:(4.00,0.00)	8.2170	16.050	2853.6	
22:(6.00,0.00)	7.9880	15.820	2857.4	
23:(6.00,-2.00)	8.0140	15.930	2853.1	
24:(4.00,-2.00)	7.9640	16.000	2850.3	
25:(2.00,-2.00)	8.0250	16.160	2851.4	
26:(0.00,-2.00)	7.7430	16.030	2858.9	
27:(-2.00,-2.00)	8.2770	15.900	2865.8	
28:(-4.00,-2.00)	7.8190	16.030	2875.1	
29:(-6.00,-2.00)	7.9130	16.040	2884.0	
30:(-4.00,-4.00)	7.9400	16.000	2873.8	
31:(-2.00,-4.00)	7.9550	15.970	2865.4	
32:(0.00,-4.00)	7.8280	16.150	2856.0	
33:(2.00,-4.00)	7.8310	15.950	2851.0	
34:(4.00,-4.00)	8.0190	16.030	2849.8	
35:(2.00,-6.00)	7.7090	15.950	2854.3	
36:(0.00,-6.00)	7.9080	16.260	2860.0	
37:(-2.00,-6.00)	7.9940	16.050	2871.2	

